schemaTuple,visited,timesVisited,id
queryconference,True,23,9a9a1962-67c7-4a3b-a5d1-0e78fefd718b
queryconferences,True,44,88c4e0b6-6778-479b-b19c-63b7c16165e7
querycontact,True,2,8b682c49-9106-4d8a-801f-d517f03e3654
querylocations,True,12,d119f720-9739-43f7-b333-9e05ec9c6344
querypeople,True,9,4489820c-036a-4fe1-a22d-2f2b19d7b9bb
querysponsors,True,12,91bd2f6c-d803-43bf-bb37-037e75ae70f0
queryinterval,False,0,
queryschedule,True,1,3dde3677-0206-4f48-9a69-10f8fd179ca0
queryseries,True,2,91ed43c5-d95e-4ffb-8b97-f95a8f7386f1
queryallseries,True,3,6f14ed66-15d3-4ebe-bd12-34eca3c6a9ac
querythemes,True,11,da8fc52a-b1c7-44ae-a9b9-e373a5ae63f2
querytheme,True,1,e7555cc9-09f3-4fff-b68a-2056117ba3eb
conferenceid,True,66,88c4e0b6-6778-479b-b19c-63b7c16165e7
conferenceseries,True,5,1a31f2b4-caa4-4356-b5b4-d7dc547d4f93
conferencename,True,58,88c4e0b6-6778-479b-b19c-63b7c16165e7
conferenceorganizer,True,33,728e9d36-5892-4081-9b0f-a7f6ba35c516
conferenceyear,True,31,728e9d36-5892-4081-9b0f-a7f6ba35c516
conferencestartdate,True,29,728e9d36-5892-4081-9b0f-a7f6ba35c516
conferenceenddate,True,27,728e9d36-5892-4081-9b0f-a7f6ba35c516
conferenceslogan,True,25,728e9d36-5892-4081-9b0f-a7f6ba35c516
conferencewebsiteurl,True,24,728e9d36-5892-4081-9b0f-a7f6ba35c516
conferencelocations,True,23,c9c6c9e2-5c38-4d47-8ad7-022a42d375af
conferenceorganizers,True,10,3f8fbb5e-c431-4dc2-89cb-e2ed702cd872
conferencemcs,True,18,3f8fbb5e-c431-4dc2-89cb-e2ed702cd872
conferencepartners,True,16,3f8fbb5e-c431-4dc2-89cb-e2ed702cd872
conferencesponsors,True,13,3f8fbb5e-c431-4dc2-89cb-e2ed702cd872
conferencegoldsponsors,True,10,3f8fbb5e-c431-4dc2-89cb-e2ed702cd872
conferencesilversponsors,True,8,3f8fbb5e-c431-4dc2-89cb-e2ed702cd872
conferencebronzesponsors,True,6,3f8fbb5e-c431-4dc2-89cb-e2ed702cd872
conferenceplatformsponsors,True,4,3f8fbb5e-c431-4dc2-89cb-e2ed702cd872
conferenceschedules,True,6,3f8fbb5e-c431-4dc2-89cb-e2ed702cd872
conferenceallspeakers,True,14,dce74188-d380-49b1-a253-375cd3ae800b
conferencespeakers,True,14,dce74188-d380-49b1-a253-375cd3ae800b
conferencekeynotespeakers,True,11,dce74188-d380-49b1-a253-375cd3ae800b
conferencefulltalkspeakers,True,9,dce74188-d380-49b1-a253-375cd3ae800b
conferencelightningtalkspeakers,True,8,95af6845-b032-4cf7-a84b-72187d9cde99
conferenceworkshopinstructors,True,9,95af6845-b032-4cf7-a84b-72187d9cde99
conferencetalks,True,5,95af6845-b032-4cf7-a84b-72187d9cde99
conferenceworkshops,True,7,88c4e0b6-6778-479b-b19c-63b7c16165e7
conferenceattendees,True,6,88c4e0b6-6778-479b-b19c-63b7c16165e7
conferencekeynotes,True,5,4a2eda72-0161-40f6-b9e5-381eaa4370a5
conferencefulltalks,True,3,4a2eda72-0161-40f6-b9e5-381eaa4370a5
conferencelightningtalks,True,2,4a2eda72-0161-40f6-b9e5-381eaa4370a5
contactfirstname,True,28,91bd2f6c-d803-43bf-bb37-037e75ae70f0
contactlastname,True,17,e8e74cde-eff3-40d0-9ca2-2f715bc09b0a
contactname,True,29,d119f720-9739-43f7-b333-9e05ec9c6344
contactabout,True,10,f7da69a8-013b-4199-a229-bac757d09a10
contactaboutshort,True,200,88c4e0b6-6778-479b-b19c-63b7c16165e7
contactcompany,True,199,88c4e0b6-6778-479b-b19c-63b7c16165e7
contacttagline,True,198,88c4e0b6-6778-479b-b19c-63b7c16165e7
contactimage,True,9,4489820c-036a-4fe1-a22d-2f2b19d7b9bb
contacttype,True,6,4489820c-036a-4fe1-a22d-2f2b19d7b9bb
contactsocial,True,5,4489820c-036a-4fe1-a22d-2f2b19d7b9bb
contactkeywords,True,12,e8e74cde-eff3-40d0-9ca2-2f715bc09b0a
contactlocation,True,13,d119f720-9739-43f7-b333-9e05ec9c6344
contacttalks,True,12,d119f720-9739-43f7-b333-9e05ec9c6344
contactworkshops,True,7,e8e74cde-eff3-40d0-9ca2-2f715bc09b0a
contactnophotography,True,192,88c4e0b6-6778-479b-b19c-63b7c16165e7
imageurl,True,7,da8fc52a-b1c7-44ae-a9b9-e373a5ae63f2
imagetitle,True,25,4489820c-036a-4fe1-a22d-2f2b19d7b9bb
imagestyle,True,7,da8fc52a-b1c7-44ae-a9b9-e373a5ae63f2
stylebackgroundsize,True,7,da8fc52a-b1c7-44ae-a9b9-e373a5ae63f2
socialhomepage,True,5,4489820c-036a-4fe1-a22d-2f2b19d7b9bb
socialmastodon,True,5,4489820c-036a-4fe1-a22d-2f2b19d7b9bb
socialtwitter,True,5,4489820c-036a-4fe1-a22d-2f2b19d7b9bb
socialgithub,True,5,4489820c-036a-4fe1-a22d-2f2b19d7b9bb
socialfacebook,True,5,4489820c-036a-4fe1-a22d-2f2b19d7b9bb
socialgooglemaps,True,5,4489820c-036a-4fe1-a22d-2f2b19d7b9bb
socialmedium,True,5,4489820c-036a-4fe1-a22d-2f2b19d7b9bb
socialinstagram,True,5,4489820c-036a-4fe1-a22d-2f2b19d7b9bb
sociallinkedin,True,5,4489820c-036a-4fe1-a22d-2f2b19d7b9bb
socialyoutube,True,5,4489820c-036a-4fe1-a22d-2f2b19d7b9bb
socialvk,True,5,4489820c-036a-4fe1-a22d-2f2b19d7b9bb
socialpinterest,True,5,4489820c-036a-4fe1-a22d-2f2b19d7b9bb
socialvimeo,True,5,4489820c-036a-4fe1-a22d-2f2b19d7b9bb
socialdribble,True,5,4489820c-036a-4fe1-a22d-2f2b19d7b9bb
socialdevto,True,5,4489820c-036a-4fe1-a22d-2f2b19d7b9bb
socialtwitch,True,5,4489820c-036a-4fe1-a22d-2f2b19d7b9bb
locationname,True,36,d119f720-9739-43f7-b333-9e05ec9c6344
locationabout,True,36,d119f720-9739-43f7-b333-9e05ec9c6344
locationimage,False,0,
locationsocial,False,0,
locationcountry,False,0,
locationcity,True,35,d119f720-9739-43f7-b333-9e05ec9c6344
locationaddress,True,34,d119f720-9739-43f7-b333-9e05ec9c6344
countryname,False,0,
countrycode,False,0,
sessiontype,False,0,
sessionlevel,False,0,
sessiontitle,False,0,
sessionhastitle,False,0,
sessiondescription,True,41,88c4e0b6-6778-479b-b19c-63b7c16165e7
sessionkeywords,False,0,
sessionlocation,False,0,
sessionpeople,False,0,
sessionurls,False,0,
sessionsessions,False,0,
sessionparent,False,0,
sessionday,True,41,88c4e0b6-6778-479b-b19c-63b7c16165e7
sessionbegin,True,41,88c4e0b6-6778-479b-b19c-63b7c16165e7
sessionend,True,41,88c4e0b6-6778-479b-b19c-63b7c16165e7
sessionurlsweb,False,0,
sessionurlsslides,False,0,
sessionurlsvideo,False,0,
sessionurlsdemo,False,0,
sessionurlsdrawing,False,0,
intervalbegin,False,0,
intervalend,False,0,
intervaltitle,False,0,
intervalsessions,False,0,
intervallocation,False,0,
intervalmc,False,0,
intervalurls,False,0,
intervaldrawing,False,0,
scheduleday,True,1,3dde3677-0206-4f48-9a69-10f8fd179ca0
schedulelocation,False,0,
scheduledescription,True,6,3f8fbb5e-c431-4dc2-89cb-e2ed702cd872
scheduleintervals,False,0,
seriesid,True,5,6f14ed66-15d3-4ebe-bd12-34eca3c6a9ac
seriesname,True,3,6f14ed66-15d3-4ebe-bd12-34eca3c6a9ac
seriesconferences,True,2,f75c8778-ce4c-4926-b7d0-91e4dc37fbf5
themeid,True,12,e7555cc9-09f3-4fff-b68a-2056117ba3eb
themefonts,True,10,da8fc52a-b1c7-44ae-a9b9-e373a5ae63f2
themetextures,True,7,da8fc52a-b1c7-44ae-a9b9-e373a5ae63f2
themecolors,True,6,da8fc52a-b1c7-44ae-a9b9-e373a5ae63f2
themelogos,True,5,da8fc52a-b1c7-44ae-a9b9-e373a5ae63f2
fontsprimary,True,9,da8fc52a-b1c7-44ae-a9b9-e373a5ae63f2
fontssecondary,True,9,da8fc52a-b1c7-44ae-a9b9-e373a5ae63f2
fontsvariants,True,8,da8fc52a-b1c7-44ae-a9b9-e373a5ae63f2
fontfamily,True,8,da8fc52a-b1c7-44ae-a9b9-e373a5ae63f2
fontweight,True,8,da8fc52a-b1c7-44ae-a9b9-e373a5ae63f2
fontstyle,True,8,da8fc52a-b1c7-44ae-a9b9-e373a5ae63f2
fontfilename,True,8,da8fc52a-b1c7-44ae-a9b9-e373a5ae63f2
fontformats,False,0,
fonthref,True,8,da8fc52a-b1c7-44ae-a9b9-e373a5ae63f2
colorsprimary,True,6,da8fc52a-b1c7-44ae-a9b9-e373a5ae63f2
colorssecondary,True,6,da8fc52a-b1c7-44ae-a9b9-e373a5ae63f2
colorstext,True,6,da8fc52a-b1c7-44ae-a9b9-e373a5ae63f2
colorsbackground,True,6,da8fc52a-b1c7-44ae-a9b9-e373a5ae63f2
logosblack,True,4,da8fc52a-b1c7-44ae-a9b9-e373a5ae63f2
logoscolored,True,2,da8fc52a-b1c7-44ae-a9b9-e373a5ae63f2
logoswhite,True,2,da8fc52a-b1c7-44ae-a9b9-e373a5ae63f2
withwithouttextwithouttext,True,5,da8fc52a-b1c7-44ae-a9b9-e373a5ae63f2
withwithouttextwithtext,True,4,da8fc52a-b1c7-44ae-a9b9-e373a5ae63f2
